Year,Revenue (in millions),Profit (in millions),Employment
2017,40653,15934,25.105
2018,55838,22112,35.587
2019,70697,18485,44.942
2020,85965,29146,58.604
2021,117929,39370,71.97
2022,116609,23200,86.482
2023,134902,39098,67.317
